iter	MultiClass
0	1.004765139
1	0.9236792662
2	0.8571045974
3	0.7945541991
4	0.7461431859
5	0.7058158769
6	0.6649238337
7	0.6319537608
8	0.6038463268
9	0.5739213548
10	0.5482892818
11	0.5268046751
12	0.5073845847
13	0.486547586
14	0.4687601911
15	0.4508669484
16	0.4359706749
17	0.4201074274
18	0.4055099679
19	0.3936428694
20	0.3794524277
21	0.3659733977
22	0.3529114103
23	0.3412346047
24	0.3316372725
25	0.3228664554
26	0.3144157798
27	0.3056784995
28	0.2948925611
29	0.2886323185
30	0.2802202944
31	0.2747351162
32	0.2691464708
33	0.2628630292
34	0.2558886969
35	0.2502228074
36	0.2439499028
37	0.2372851667
38	0.2314286085
39	0.226105012
40	0.2213550585
41	0.2185575529
42	0.213805588
43	0.2095788676
44	0.2061162608
45	0.2023624287
46	0.1989777115
47	0.1948766981
48	0.1910521525
49	0.1884316961
50	0.185649269
51	0.1827904649
52	0.1790272457
53	0.1760649615
54	0.1734312561
55	0.1705803554
56	0.1679064702
57	0.1654894374
58	0.1620191873
59	0.1588090955
60	0.1567708815
61	0.1542005034
62	0.1516115678
63	0.1504096077
64	0.1489115099
65	0.1464551604
66	0.1437163756
67	0.1419243275
68	0.1401458332
69	0.1382748113
70	0.1364012204
71	0.1341901436
72	0.1318319578
73	0.1305624248
74	0.1292081921
75	0.1273752059
76	0.1255679054
77	0.1237769445
78	0.1221582498
79	0.1201599598
80	0.1187997037
81	0.117981584
82	0.1162113676
83	0.1147960114
84	0.113472785
85	0.1121176435
86	0.1104068962
87	0.1094936451
88	0.1083247892
89	0.1066140941
90	0.1051425832
91	0.1039588941
92	0.102571418
93	0.1013331047
94	0.1003872862
95	0.09971152232
96	0.09877510351
97	0.09813621195
98	0.09704683971
99	0.09610429455
100	0.09485730226
101	0.09410622989
102	0.09322685114
103	0.09211863967
104	0.09095133078
105	0.08995094936
106	0.08886731836
107	0.08842121873
108	0.08741841745
109	0.08664102783
110	0.0859154505
111	0.08479753997
112	0.08398473535
113	0.08330743108
114	0.08235811723
115	0.08181153633
116	0.08122327806
117	0.08050231477
118	0.07939757774
119	0.07904364066
120	0.0783940742
121	0.07773651874
122	0.07708202595
123	0.07613075883
124	0.07558655434
125	0.07520321069
126	0.07441899206
127	0.07347466309
128	0.07293062769
129	0.07231775247
130	0.0718772952
131	0.07112590869
132	0.0707449892
133	0.07000451502
134	0.06945240577
135	0.06877299946
136	0.06813885993
137	0.06766718937
138	0.0669078983
139	0.06655370174
140	0.06615981541
141	0.0655396715
142	0.06493559981
143	0.06405958589
144	0.06337736812
145	0.06269755312
146	0.06209344139
147	0.06169418054
148	0.06116765714
149	0.06057643369
150	0.06014233486
151	0.05996775896
152	0.05957562015
153	0.05915026797
154	0.05880217614
155	0.05852349619
156	0.05832365439
157	0.05783832485
158	0.05736695663
159	0.05692394514
160	0.05658243617
161	0.05609238363
162	0.05561427208
163	0.05533329407
164	0.05497541578
165	0.05465879433
166	0.05411656682
167	0.05362232959
168	0.05328697881
169	0.05289583738
170	0.05240919094
171	0.05202623295
172	0.05152800795
173	0.05106138914
174	0.05068626353
175	0.05056063501
176	0.05005924945
177	0.04978492683
178	0.04958740794
179	0.04921864662
180	0.0487319032
181	0.04841212772
182	0.04804064513
183	0.04770630795
184	0.04731069668
185	0.04691688625
186	0.0466675671
187	0.04652781827
188	0.04617940473
189	0.04593801686
190	0.04566005175
191	0.04542928561
192	0.04498588387
193	0.0446435629
194	0.04439769084
195	0.04409469182
196	0.04377132843
197	0.04358937857
198	0.04320443351
199	0.04305301862
200	0.04263582881
201	0.04235109199
202	0.04206079674
203	0.04186100898
204	0.04166212602
205	0.04144760956
206	0.04122601637
207	0.04089872329
208	0.04076895674
209	0.04063343802
210	0.04032214681
211	0.04005150125
212	0.03984291806
213	0.03957626269
214	0.03921007881
215	0.03904370264
216	0.03870077116
217	0.03840343677
218	0.03811483122
219	0.03794487158
220	0.03770695049
221	0.03754888476
222	0.03731035138
223	0.03717280001
224	0.03696707035
225	0.03675323532
226	0.03660567137
227	0.03638921265
228	0.03613969082
229	0.03597854523
230	0.03585273491
231	0.03560878025
232	0.03536058016
233	0.03520616683
234	0.03499233963
235	0.03477566961
236	0.03458732158
237	0.03433734233
238	0.03410591497
239	0.03385909624
240	0.03368935233
241	0.03342391638
242	0.0331966068
243	0.03306062853
244	0.03290421535
245	0.03267860178
246	0.03254817317
247	0.03234248582
248	0.03210532344
249	0.03190550472
250	0.03173786986
251	0.03155025781
252	0.0313193011
253	0.03119489489
254	0.03101976568
255	0.03088929277
256	0.03074774203
257	0.03053725546
258	0.03040460712
259	0.03025273209
260	0.03012581949
261	0.02994796429
262	0.0298028018
263	0.02956307181
264	0.02943859832
265	0.02924266068
266	0.02908729788
267	0.02890803821
268	0.02873190701
269	0.02854753437
270	0.02837513796
271	0.02823525581
272	0.02807072137
273	0.02789891219
274	0.02779970317
275	0.02768702849
276	0.02760412226
277	0.02745856893
278	0.02731012554
279	0.0271672209
280	0.02705384722
281	0.02695667068
282	0.02682507577
283	0.02671017998
284	0.02658000468
285	0.02647013822
286	0.02632467178
287	0.02622656751
288	0.02610783931
289	0.02599778228
290	0.0258706794
291	0.02577394052
292	0.0256364524
293	0.02550489924
294	0.02535968381
295	0.0252905044
296	0.02515922373
297	0.02498337938
298	0.02485009169
299	0.02469870923
