iter	Logloss
0	0.6432053675
1	0.6070386238
2	0.5758242807
3	0.5477349122
4	0.5264546745
5	0.5063674829
6	0.4896950198
7	0.4718615172
8	0.4609351277
9	0.451152454
10	0.4419576629
11	0.4327469956
12	0.4261983091
13	0.4186405441
14	0.4129714208
15	0.4071417746
16	0.400726193
17	0.3962236927
18	0.3908054985
19	0.3865002239
20	0.3829634809
21	0.3782893135
22	0.3742445973
23	0.3709987038
24	0.3676998031
25	0.3633258764
26	0.3589086217
27	0.3558676654
28	0.3526237103
29	0.3486885973
30	0.3428611769
31	0.3387626078
32	0.3352128202
33	0.3322956175
34	0.3297045495
35	0.3280694293
36	0.3261679298
37	0.3236534037
38	0.3221154195
39	0.3200104612
40	0.3181882061
41	0.3161646239
42	0.3143678422
43	0.3108484829
44	0.3086396067
45	0.3059874106
46	0.3033543817
47	0.3010559365
48	0.2984718455
49	0.2960263425
50	0.2944036017
51	0.2925931709
52	0.2912176881
53	0.2893587794
54	0.2867028948
55	0.2851160846
56	0.2827407364
57	0.2811470311
58	0.2782696408
59	0.2759859678
60	0.2748831465
61	0.2736799914
62	0.2718508562
63	0.2705908263
64	0.2694791848
65	0.2678008888
66	0.2660546695
67	0.2632690018
68	0.2611788034
69	0.2594007972
70	0.2563756858
71	0.2549297704
72	0.2534466115
73	0.2507236825
74	0.2489462013
75	0.2471716659
76	0.2446353531
77	0.243010712
78	0.2412482627
79	0.239490146
80	0.237298057
81	0.2359570536
82	0.2347132249
83	0.2332037638
84	0.2314438477
85	0.2297521007
86	0.2275746128
87	0.2258395946
88	0.2244144221
89	0.2231335122
90	0.2216243717
91	0.2199504717
92	0.2187869515
93	0.2171612564
94	0.2157437779
95	0.214766722
96	0.213190045
97	0.2120976042
98	0.2113164683
99	0.2103721266
100	0.2085848156
101	0.2074636944
102	0.2053408669
103	0.2039699959
104	0.2024809726
105	0.2015033707
106	0.1995911327
107	0.1978336231
108	0.1960501718
109	0.1940190479
110	0.1932361839
111	0.1916204915
112	0.1898072898
113	0.1880479859
114	0.1873927496
115	0.1859469589
116	0.1846817535
117	0.1827805863
118	0.1818630379
119	0.1812564461
120	0.1802919983
121	0.1790877923
122	0.1769731425
123	0.1750476926
124	0.1739061706
125	0.173038712
126	0.1717946924
127	0.170735844
128	0.1689138021
129	0.1671213949
130	0.1655123007
131	0.1642940772
132	0.163530248
133	0.16278759
134	0.1617259103
135	0.1600464699
136	0.158813369
137	0.157964129
138	0.1566152709
139	0.1549341857
140	0.1533007028
141	0.1525498016
142	0.1511190481
143	0.1502418988
144	0.148852288
145	0.1476517044
146	0.1461284941
147	0.1452841492
148	0.1441303665
149	0.1430385568
150	0.1422279249
151	0.1414541658
152	0.1406062356
153	0.1395669786
154	0.1388021003
155	0.1380283093
156	0.1364439697
157	0.1357401531
158	0.1346084302
159	0.1336343346
160	0.1325240545
161	0.1313469402
162	0.1306218278
163	0.1293783199
164	0.1286700265
165	0.127657846
166	0.1270695679
167	0.125863679
168	0.1251083288
169	0.1243589009
170	0.1235341024
171	0.1224608466
172	0.1214913552
173	0.1208051946
174	0.119975597
175	0.1192351045
176	0.1183315661
177	0.1175500967
178	0.1168641164
179	0.1158151573
180	0.1149835415
181	0.1139668718
182	0.113357923
183	0.1127565254
184	0.112229238
185	0.1116308863
186	0.1109023024
187	0.1101720426
188	0.1096039389
189	0.1090236573
190	0.1079580915
191	0.1073084299
192	0.1066337251
193	0.1058845161
194	0.1051304206
195	0.1045186982
196	0.1039538137
197	0.1034359705
198	0.1026779744
199	0.1019463984
200	0.1008289967
201	0.1002132581
202	0.09948150636
203	0.09876518628
204	0.09812990501
205	0.09757367263
206	0.09680452566
207	0.09619051936
208	0.09557072909
209	0.09502597418
210	0.09425286315
211	0.09372406324
212	0.093011947
213	0.09240839424
214	0.09190382303
215	0.09138858456
216	0.09093629119
217	0.09045781427
218	0.08979812546
219	0.08916870378
220	0.08850010856
221	0.08797044249
222	0.08738100462
223	0.08693635761
224	0.08639624049
225	0.08594588479
226	0.08548484996
227	0.08505748475
228	0.08469351024
229	0.08417015852
230	0.08376518506
231	0.08307468744
232	0.08255306487
233	0.08211168762
234	0.08135807122
235	0.08096435764
236	0.08031096077
237	0.07988604307
238	0.0793007823
239	0.07874956748
240	0.07801722747
241	0.07746376272
242	0.07697992197
243	0.07633598507
244	0.07584456213
245	0.07530026558
246	0.07474365555
247	0.07431142554
248	0.07386949845
249	0.07346080329
250	0.07299594032
251	0.07261078689
252	0.07206178213
253	0.07163127745
254	0.07137399568
255	0.07093637312
256	0.0707177864
257	0.07026427018
258	0.06999401866
259	0.06976285313
260	0.06932407862
261	0.06883459976
262	0.06832881707
263	0.0679495623
264	0.06756213447
265	0.06715219842
266	0.06692601145
267	0.06666166666
268	0.06610626561
269	0.06588763175
270	0.06560372114
271	0.0652533063
272	0.06486200963
273	0.0645983088
274	0.06408740648
275	0.06373684215
276	0.063320377
277	0.0630005335
278	0.06248375223
279	0.06201950447
280	0.06135220942
281	0.06110637064
282	0.06085320904
283	0.06043284321
284	0.06007085283
285	0.05973061481
286	0.05932988118
287	0.05913350205
288	0.05881715948
289	0.05842693576
290	0.05803306514
291	0.05764904475
292	0.05731382482
293	0.05704023113
294	0.0566862462
295	0.05627388733
296	0.05596847697
297	0.05565926464
298	0.05528671256
299	0.05501301775
