Epoch,Accuracy,Precision,Recall,F1-Score,Loss,Kappa
1,0.7513171759747103,0.7517212789636852,0.7513171759747103,0.7510571519540654,0.5319528262905714,0.502055047880712
1,0.7434141201264489,0.7446295314211053,0.7434141201264489,0.7428221290909166,0.5451821890197882,0.4859570908870481
2,0.768177028451001,0.7685252432954834,0.768177028451001,0.7679740016983483,0.48080767290431914,0.5358565952942622
3,0.7676501580611169,0.7678658601375496,0.7676501580611169,0.7674964542149078,0.47582432740375774,0.5348614408704628
4,0.7795047418335089,0.7804364281475481,0.7795047418335089,0.7791481333243612,0.47634938972837787,0.558378386192142
5,0.7881981032665965,0.7898065603009624,0.7881981032665965,0.7880757757295952,0.460562041451951,0.576772275387903
6,0.7934668071654373,0.7969247132298601,0.7934668071654373,0.7931104846768907,0.45436799369689795,0.5875419274848888
7,0.8016332982086407,0.8018485571019746,0.8016332982086407,0.8016474092500964,0.4395815700668247,0.6032956686544528
8,0.8008429926238145,0.8012564435607678,0.8008429926238145,0.800675004173565,0.4454769548498282,0.6012659335871166
9,0.797154899894626,0.8030827627198471,0.797154899894626,0.7958152636473328,0.4566385267662401,0.5931581893805118
10,0.791622760800843,0.8025735700234897,0.791622760800843,0.7901679556434958,0.47355221096081895,0.5844560239453204
11,0.8069020021074815,0.8090650298817557,0.8069020021074815,0.8067361971915141,0.4350845396769147,0.6142139496294193
12,0.8066385669125395,0.8127970607091154,0.8066385669125395,0.8053615630092756,0.4379797318652898,0.6121793649419424
13,0.804004214963119,0.8046718429500048,0.804004214963119,0.8037779935434051,0.433067151227919,0.607530263214578
14,0.8000526870389885,0.8129823631846623,0.8000526870389885,0.7974881197135154,0.4616714464265759,0.5985313297735964
15,0.8145416227608009,0.8156813028987384,0.8145416227608009,0.8142376331616132,0.4210591231699751,0.628549022398667
16,0.821654373024236,0.821698973177282,0.821654373024236,0.8216638430223333,0.413820019351835,0.6432499215672121
17,0.815595363540569,0.8165104492390942,0.815595363540569,0.8153396737214451,0.4242083203016209,0.6307001936558596
18,0.8179662802950474,0.8186073726393142,0.8179662802950474,0.8177727134999444,0.4168793182788777,0.6355051720592078
19,0.8076923076923077,0.8099986301727888,0.8076923076923077,0.8075113483110443,0.43084573025713446,0.6158104612442834
20,0.8145416227608009,0.8169178074716984,0.8145416227608009,0.8140019953082179,0.4271499693644147,0.6283785644179662
21,0.815595363540569,0.8173292498139011,0.815595363540569,0.8151793831144394,0.4199248131583719,0.6305714242019372
22,0.821917808219178,0.8219657050614113,0.821917808219178,0.8218757599137194,0.41120212756786023,0.6436168838726146
23,0.8253424657534246,0.8265199646810238,0.8253424657534246,0.8250599909128453,0.40525137464038463,0.6501850299228078
24,0.8190200210748156,0.8191126237651334,0.8190200210748156,0.8189611053383319,0.41373939048342345,0.637787869427339
25,0.8295574288724974,0.8300877261046377,0.8295574288724974,0.8294053708665786,0.4049320377472068,0.6587459809754592
