Epoch,Accuracy,Precision,Recall,F1-Score,Loss,TP,TN,FP,FN,Kappa
1,0.8598524762908325,0.9106592729513248,0.7924932975871314,0.8474770642201834,0.08653794550920814,1478,1786,145,387,0.718997063725587
2,0.8585353003161222,0.9414893617021277,0.7592493297587132,0.8406055209260909,0.08528231037240888,1416,1843,88,449,0.7160457368664752
3,0.8556375131717597,0.9680170575692963,0.7302949061662198,0.8325183374083129,0.09329472642364442,1362,1886,45,503,0.7099705231246102
4,0.8938356164383562,0.9047619047619048,0.8761394101876676,0.8902206483247073,0.0715543656709071,1634,1759,172,231,0.7874921375085848
5,0.8948893572181243,0.9160045402951191,0.8654155495978553,0.8899917287014061,0.06901256039785761,1614,1783,148,251,0.789516486766228
6,0.874868282402529,0.9560367454068242,0.7812332439678285,0.8598406609619358,0.07815947350668079,1457,1864,67,408,0.7488762032522001
7,0.8938356164383562,0.949017199017199,0.8284182305630027,0.8846263956484397,0.08797284836701272,1545,1848,83,320,0.7871447677385853
8,0.9001580611169653,0.9279953917050692,0.8638069705093834,0.8947514579283533,0.07651413346712406,1611,1806,125,254,0.8000193491458854
9,0.9059536354056902,0.9424882629107981,0.8611260053619303,0.8999719809470439,0.07640125068617068,1606,1833,98,259,0.8115724073568369
10,0.9022655426765016,0.9007510729613734,0.9002680965147453,0.9005095199785464,0.08767850291439272,1679,1746,185,186,0.8044701858949119
11,0.898840885142255,0.8734241048915784,0.928686327077748,0.9002079002079002,0.09029567598250426,1732,1680,251,133,0.797839182138955
12,0.9233403582718651,0.9319429198682766,0.910455764075067,0.9210740439381611,0.0939637788878587,1698,1807,124,167,0.8465739010238074
13,0.9238672286617492,0.9324917672886938,0.9109919571045576,0.9216164903715758,0.10468103643899314,1699,1808,123,166,0.8476283759308603
14,0.9212328767123288,0.9269356597600873,0.9115281501340483,0.9191673425250068,0.11623097583357131,1700,1797,134,165,0.8423733408290217
15,0.9251844046364595,0.9326765188834154,0.9136729222520107,0.9230769230769231,0.12180632207585838,1704,1808,123,161,0.8502714259563935
16,0.9233403582718651,0.9343267108167771,0.9077747989276139,0.9208593962469404,0.1184593467797507,1693,1812,119,172,0.8465598352690297
17,0.9249209694415174,0.9261057173678533,0.9206434316353888,0.9233664963699919,0.13266954820547194,1717,1794,137,148,0.849781391143231
18,0.9236037934668072,0.92315959161741,0.9211796246648793,0.9221685453569511,0.13261452005284047,1718,1788,143,147,0.8471557818639042
19,0.9262381454162276,0.9295392953929539,0.9195710455764075,0.9245283018867925,0.13390425813567872,1715,1801,130,150,0.8524046319350229
20,0.9254478398314014,0.9322404371584699,0.914745308310992,0.9234100135317999,0.1359234880337058,1706,1807,124,159,0.8508027421003511
21,0.9262381454162276,0.9337712096332786,0.914745308310992,0.924160346695558,0.13595743380581177,1706,1810,121,159,0.8523802791119373
22,0.9267650158061117,0.9338436303991252,0.9158176943699732,0.9247428262046561,0.13605415647200753,1708,1810,121,157,0.8534373926253157
23,0.9265015806111696,0.9342825848849945,0.914745308310992,0.9244107287997834,0.13775788419705778,1706,1811,120,159,0.852906144063324
24,0.9265015806111696,0.9347587719298246,0.9142091152815014,0.9243697478991597,0.13793031479432213,1705,1812,119,160,0.8529034473141661
25,0.9265015806111696,0.9347587719298246,0.9142091152815014,0.9243697478991597,0.1379512766268432,1705,1812,119,160,0.8529034473141661
