Epoch,Accuracy,Loss,Kappa
1,0.4988851727982163,0.12988135457282526,0.2154796267704906
1,0.5984251968503937,0.09181110910543307,0.2912946428571429
2,0.6462281679672984,0.08958492795471275,0.41510464594215934
2,0.695275590551181,0.08018307995608473,0.4363103785227016
3,0.6941657376439986,0.0806122789583721,0.495728007847241
3,0.7440944881889764,0.07361095979457766,0.5242469789250921
4,0.7344853214418432,0.0711139366003006,0.5629593943001864
4,0.7645669291338583,0.07389201348222146,0.5739957100034104
5,0.7112597547380156,0.07452971456951034,0.5278904995929822
5,0.7228346456692913,0.06346957958120061,0.5415482182486453
6,0.8039762170196953,0.05582881230197844,0.6743691027175565
6,0.8811023622047244,0.04061118228229012,0.7855209591553707
7,0.8091787439613527,0.05207776034611479,0.6841390644064262
7,0.7677165354330708,0.04540015124664532,0.6202491870808702
8,0.8268301746562616,0.04768484223679688,0.7157985021020952
8,0.8259842519685039,0.04449173101759332,0.7044185047264393
9,0.8034188034188035,0.053445778280463374,0.6775259407812493
9,0.8629921259842519,0.030915465505104364,0.7677942449792783
10,0.8301746562616128,0.043716021038561405,0.7231247741556376
10,0.8937007874015748,0.049311284392368135,0.8108451015004413
11,0.8309178743961353,0.043036090907101206,0.7242917892475588
11,0.8503937007874016,0.0347171850443825,0.7448655918526162
12,0.7816796729840209,0.058748633209346,0.6420417350519587
12,0.8165354330708662,0.047106924265857754,0.6865878096416269
13,0.8353771832032701,0.042653419514851514,0.7306830722059592
13,0.8889763779527559,0.03145445276667753,0.8053045195184747
14,0.7876254180602007,0.05777077050412379,0.6512773819452286
14,0.8551181102362204,0.045103018865810605,0.7406356690329999
15,0.845224823485693,0.0414675075130967,0.7458148117783652
15,0.8960629921259843,0.03160952462220755,0.811842560126426
16,0.8792270531400966,0.03406711679352749,0.799665439049829
16,0.9094488188976377,0.0276969340079882,0.8379778571587051
17,0.8877740616871052,0.029301394512222762,0.8139245429793854
17,0.8976377952755905,0.025601404782120637,0.8204123011591076
18,0.8879598662207359,0.02743123096023869,0.8153689397191233
18,0.9125984251968504,0.024797084798493723,0.8445254701623897
19,0.893719806763285,0.026925987582023882,0.8245491171785825
19,0.9039370078740158,0.028651552348155675,0.8319063344862153
20,0.8929765886287626,0.02569278653099197,0.8237492279869465
20,0.9062992125984252,0.028943869849945618,0.835799652325076
21,0.902081010776663,0.024779755659526007,0.8381927192046261
21,0.9236220472440945,0.026724027496153914,0.8643634473859217
22,0.8976217019695281,0.025596770221545367,0.8306561074926518
22,0.9149606299212598,0.027343548444195058,0.8507449693350337
23,0.9083983649201041,0.023707209396532855,0.8484643090770092
23,0.9212598425196851,0.023243946464746954,0.8604236088520006
24,0.9043106651802304,0.023491656262010878,0.841975606798379
24,0.9330708661417323,0.021724071600804414,0.8800155607424697
25,0.9108138238573021,0.02191333041918495,0.8524944997194188
25,0.9244094488188976,0.022609432726570473,0.865595428127949
26,0.9169453734671126,0.020780880798785404,0.8621857208088703
26,0.9078740157480315,0.021913820710473174,0.838842276055947
27,0.9141583054626533,0.020936473617098314,0.8582614389569161
27,0.9322834645669291,0.020847345888614654,0.8793511784303503
28,0.9195466369379414,0.020520804859337886,0.8670421244998046
28,0.9440944881889763,0.018637206053405297,0.8997375853403607
29,0.9173169825343739,0.020061391413721263,0.8630588380593955
29,0.9244094488188976,0.019831054931961176,0.867258371476228
30,0.9126718691936083,0.02146539126672695,0.8557981399707896
30,0.9346456692913385,0.018635688625334754,0.8833980814498859
31,0.9253065774804905,0.018707067436088375,0.8762990573220701
31,0.9354330708661417,0.017849878782010452,0.8857728267879942
32,0.9176885916016351,0.01871380871867838,0.8637499577830631
32,0.9409448818897638,0.01837616077088934,0.8948452652217689
33,0.9204756596060945,0.01788997137936373,0.8683867663420811
33,0.9401574803149606,0.01885223519130368,0.8925320221616518
34,0.9256781865477518,0.017573962258732218,0.8768765347538972
34,0.931496062992126,0.01844648003548853,0.8786698819312672
35,0.9277220364176886,0.016667642592220935,0.8802754125629961
35,0.9346456692913385,0.017944448843129037,0.8836688297355759
36,0.9292084726867336,0.016195773530511975,0.8824163285022659
36,0.9291338582677166,0.018154806514659266,0.8745241137648035
37,0.9292084726867336,0.016720104577737597,0.8825986207209275
37,0.9362204724409449,0.01919673850437201,0.8863761879304937
38,0.9360832404310665,0.015362919155620412,0.8937564784367155
38,0.9385826771653543,0.01956784995346088,0.8902085439165824
39,0.9409141583054627,0.014508104347736363,0.9018390340619027
39,0.9417322834645669,0.019140661628843526,0.8955791700555104
40,0.9396135265700484,0.0139382495640025,0.8996287269968513
40,0.9354330708661417,0.019153549041100375,0.8848533632901819
41,0.9448160535117057,0.012484053576199684,0.9083949858264597
41,0.9385826771653543,0.01890685411580787,0.890306777814197
42,0.9459308807134894,0.014329790502506478,0.9099159665025592
42,0.9393700787401574,0.01782552034220123,0.8917562517710399
43,0.9424005945745076,0.012989587803582019,0.9042353811471091
43,0.925984251968504,0.01907705709954181,0.8690555060744731
44,0.9455592716462282,0.013259122907559569,0.9091592039207737
44,0.9330708661417323,0.018269954418660854,0.88094187713687
45,0.9451876625789669,0.012262677741387533,0.9087877000671127
45,0.9385826771653543,0.01751396931179865,0.8907794286923962
46,0.9489037532515794,0.012538523065422557,0.9148625911385305
46,0.9409448818897638,0.017995862217664013,0.8946307596320208
47,0.9537346711259755,0.011964773837807828,0.922854593828934
