Epoch,Accuracy,Precision,Recall,F1-Score,Loss,Kappa
1,0.48976377952755906,0.7066442978480397,0.48976377952755906,0.5453656818572319,0.9948413252830506,0.2495924076579944
2,0.5677165354330709,0.6777960571813668,0.5677165354330709,0.5962384376775419,0.9786246821284295,0.3097170080311743
3,0.3716535433070866,0.6825230065439529,0.3716535433070866,0.4431218729460741,1.1826351553201675,0.1657062511524986
4,0.5031496062992126,0.6645224590828586,0.5031496062992126,0.4908627714467242,0.9976643674075604,0.22151738877015748
5,0.5165354330708661,0.7503065477579972,0.5165354330708661,0.5590592361819187,0.8939355701208115,0.2853555534374931
6,0.5133858267716536,0.7073951755422164,0.5133858267716536,0.5172575118626334,0.8898285552859306,0.26584651303752427
7,0.5795275590551181,0.7095442934878569,0.5795275590551181,0.6257152274354086,0.86075609177351,0.3429965356625255
8,0.6417322834645669,0.7403047931428729,0.6417322834645669,0.6766455897230826,0.7947856947779656,0.42143489352840113
9,0.6440944881889764,0.7299859850477702,0.6440944881889764,0.6772085380104991,0.8356382042169571,0.41830489238377044
10,0.6905511811023622,0.7395145289477572,0.6905511811023622,0.7073195208998564,0.7561459682881833,0.4691109834705469
11,0.6307086614173228,0.7307600574260781,0.6307086614173228,0.6680430960217694,0.8551404818892478,0.40401240744446665
12,0.647244094488189,0.7232682154530631,0.647244094488189,0.6760387568533925,0.800357212126255,0.41744789426908624
13,0.721259842519685,0.7508716214693655,0.721259842519685,0.733403304117965,0.719768463075161,0.517690475679619
14,0.7259842519685039,0.7577674444800429,0.7259842519685039,0.737150408058122,0.7342828586697578,0.5280988135202317
15,0.6984251968503937,0.7535879141920864,0.6984251968503937,0.7183282425092423,0.7464688748121262,0.49244315146253503
16,0.6236220472440945,0.7507355246673857,0.6236220472440945,0.6584348870700588,0.7916327103972435,0.39986317837427443
17,0.5913385826771653,0.7493941759077274,0.5913385826771653,0.6144474952472676,0.8243176460266113,0.35136491566454764
18,0.7236220472440945,0.7748941103558205,0.7236220472440945,0.7382237022721818,0.7149671643972397,0.5327985343685544
19,0.7244094488188977,0.7613003239562479,0.7244094488188977,0.7364485974141977,0.734325198084116,0.5275197176810732
20,0.6622047244094488,0.7444668075433211,0.6622047244094488,0.6918588088347181,0.7598175004124641,0.4477208589454563
21,0.7141732283464567,0.7933042493083248,0.7141732283464567,0.7431275585104143,0.6893483333289623,0.5299308268959384
22,0.7094488188976378,0.7745754119634748,0.7094488188976378,0.7351388238748827,0.6870889060199261,0.5137623626772693
23,0.6874015748031496,0.7598574865769517,0.6874015748031496,0.7086312446455729,0.7447603441774845,0.48205546492659057
24,0.7448818897637796,0.7729088606617317,0.7448818897637796,0.7562596917786247,0.6450525186955929,0.5560513732327506
25,0.6220472440944882,0.789582348713667,0.6220472440944882,0.6751080699445471,0.8033669389784336,0.4249555698939338
26,0.7007874015748031,0.7565254319194731,0.7007874015748031,0.717629516191977,0.6958817802369595,0.4881118050369968
27,0.7251968503937007,0.7708273365050372,0.7251968503937007,0.7410416946920912,0.6917948096990585,0.5336757582516549
28,0.7716535433070866,0.7765344804336001,0.7716535433070866,0.7728792278345158,0.628346924111247,0.5890958099598802
29,0.6440944881889764,0.7920236505524528,0.6440944881889764,0.69357229196922,0.7593619123101234,0.44665083208661727
30,0.6354330708661418,0.8036974057504289,0.6354330708661418,0.6881947215252358,0.845394815504551,0.4442669741418418
31,0.5401574803149606,0.7921286724365507,0.5401574803149606,0.6064702202180443,0.8864233225584031,0.3362472301871122
32,0.7692913385826772,0.7835861972085296,0.7692913385826772,0.7738845944801029,0.5985736824572087,0.594195217281301
33,0.7346456692913386,0.7987682268672787,0.7346456692913386,0.75663533715436,0.6464609533548356,0.5565862977820508
34,0.7354330708661417,0.7865474234451401,0.7354330708661417,0.7541338735360001,0.6470613852143288,0.5536569752603457
35,0.768503937007874,0.7822509571209805,0.768503937007874,0.7732963114374459,0.6104060616344213,0.5926094034364922
36,0.7196850393700788,0.7773434125306278,0.7196850393700788,0.7413590736133125,0.6724803611636162,0.5299132857826114
37,0.7086614173228346,0.8029303610090738,0.7086614173228346,0.7334577562151318,0.7077173799276352,0.5261366065774135
38,0.7440944881889764,0.7689889001870073,0.7440944881889764,0.7538511664567775,0.6134067066013813,0.5551457591460525
39,0.7417322834645669,0.8010882307919193,0.7417322834645669,0.7633736435819342,0.6221171535551548,0.5676900851834017
40,0.7377952755905511,0.8065032457982672,0.7377952755905511,0.7617483300438843,0.6257678553462028,0.5657598048275607
41,0.7377952755905511,0.818684638928184,0.7377952755905511,0.7661192389352806,0.6271473035216332,0.5698829588586354
42,0.7433070866141732,0.8115613246931509,0.7433070866141732,0.767147822297329,0.617403507977724,0.5746329074388384
