Epoch,Accuracy,Precision,Recall,F1-Score,Loss,Kappa
1,0.8291338582677166,0.7158499101854362,0.7714807009371825,0.7426249232628072,0.03823327056066258,0.7051542112267999
2,0.768503937007874,0.6950395491467772,0.7560951141539736,0.7242828946809391,0.03553536034475161,0.6204006441538161
3,0.8582677165354331,0.7496430537994608,0.7718778207035132,0.760597973210552,0.034250573051257394,0.7473262564052683
4,0.8755905511811024,0.7843953932810489,0.7876360774800704,0.7860123951058027,0.03713333738131786,0.7780044518592929
5,0.8472440944881889,0.7535338143538062,0.8551734081244327,0.8011427699879863,0.02637416915161403,0.7417790186806185
6,0.868503937007874,0.773843770615399,0.8258630454788464,0.7990076265170029,0.02829191654216586,0.7687333711344703
7,0.8937007874015748,0.8166687279485778,0.8361639616899783,0.826301371252681,0.026155681544401514,0.8102043527354041
8,0.8496062992125984,0.7571213814342176,0.859558613541595,0.8050946469688082,0.023659329468340387,0.7453012453012453
9,0.8724409448818897,0.7785926469560355,0.8618867612545204,0.8181251059451166,0.02314301668189642,0.7801077337437476
10,0.8795275590551181,0.7836691867111766,0.8724204544280177,0.8256666921985,0.02275067475133055,0.7929197767954199
11,0.9110236220472441,0.8304406905858811,0.9100574771312703,0.8684281015624186,0.02080070654472967,0.8443526170798898
12,0.9,0.8256515808441419,0.8822928694631663,0.8530330155746053,0.018064297770890664,0.8244558119286025
13,0.8984251968503937,0.8246609978942088,0.8856079562081881,0.8540485274644929,0.018658460054810592,0.8224041938756927
14,0.8929133858267716,0.8064034649560966,0.9001713248525389,0.8507113544043451,0.020344466874449272,0.8151145365018198
15,0.905511811023622,0.8220249596775354,0.887045325594098,0.853298315800678,0.017247884409634148,0.8337137694600716
16,0.905511811023622,0.8205266812479722,0.8735500591457651,0.8462085734891236,0.020038224369522156,0.8331830083102008
17,0.925984251968504,0.8683367016953616,0.9116233968699753,0.8894537065908715,0.017048003577341243,0.8688961712147036
18,0.9110236220472441,0.8337850528964103,0.88381127598324,0.8580696396536882,0.02347041505762911,0.8425658983101423
19,0.9094488188976378,0.8307392729223168,0.8844943572696611,0.8567744782147834,0.028108625031831695,0.8393098409932094
20,0.9102362204724409,0.8287494337144591,0.8893950243955802,0.8580019210108671,0.027737585249848252,0.8424317617866005
21,0.9133858267716536,0.8432739436915693,0.8633718959185767,0.853204580172343,0.0351423644292073,0.8447170448886676
22,0.9125984251968504,0.8310554197994987,0.8973342689782541,0.8629240413179651,0.01990098604771096,0.8470497096580996
23,0.8858267716535433,0.7911149865947743,0.8828849572645695,0.8344845215714959,0.02728342676725913,0.8032728391527111
24,0.915748031496063,0.8314287169738307,0.9022111164799789,0.865374937215253,0.020552677737446283,0.8522138022238076
25,0.9188976377952756,0.8356559216184886,0.9021894393616643,0.8676490605574073,0.019870644303288047,0.8575650272652834
