Epoch,Accuracy,Precision,Recall,F1-Score,Loss,Kappa
1,0.789763779527559,0.6732635672359727,0.7005050264448239,0.6866142014607102,0.04391548253419831,0.6325613752210548
2,0.8401574803149606,0.73551910160716,0.7363892272787882,0.7359539072534911,0.04166988491073368,0.7173817719409792
3,0.8039370078740158,0.7030302997694302,0.7798619318799077,0.7394557150501656,0.035689324985338944,0.6680557596624189
4,0.8023622047244094,0.7237147437990864,0.7982615203171312,0.7591624722169357,0.030703581599738655,0.6688558036716004
5,0.8858267716535433,0.7986408059734288,0.8301813290947005,0.8141056920798191,0.02635433115358428,0.7973246635468348
6,0.8078740157480315,0.7187432377895836,0.8235167494808203,0.7675710966779055,0.026685233261641555,0.6807243563589306
7,0.8732283464566929,0.7799721281562294,0.8590020661318466,0.8175817190367448,0.028692628267243152,0.7800801937729364
8,0.8653543307086614,0.7667880243538138,0.8446339175820837,0.8038306493294005,0.024728903937058185,0.7670349710362583
9,0.8968503937007875,0.8191110277569393,0.8774830697925071,0.8472928912993661,0.021556829631797912,0.8184637342109169
10,0.8913385826771654,0.8068357929407958,0.8504609034266736,0.8280741751134942,0.02215401356614481,0.8090092367779818
11,0.9,0.8146918104340695,0.882326393378699,0.8471613153004963,0.021117200356299482,0.8247449788985523
12,0.8921259842519685,0.8043635243289651,0.9002127886428032,0.849593328040953,0.01970012982295254,0.8141751894667589
13,0.889763779527559,0.7990982524168208,0.8950061212653287,0.8443373838307177,0.02017631406976482,0.8099850809433632
14,0.9110236220472441,0.8382251894213001,0.8911641041036046,0.8638843813415221,0.021754041830385765,0.843023281252051
15,0.9078740157480315,0.820257733397917,0.8762688991073816,0.8473387063396589,0.02630643511381675,0.8377845511591653
16,0.9149606299212598,0.8433987125883556,0.8706082725428798,0.8567875190721193,0.02434849680408718,0.8486079347279005
17,0.9047244094488189,0.8192263470329727,0.885987053719176,0.8512998281818741,0.020430622959700155,0.8328612945608952
18,0.9110236220472441,0.8290930618654365,0.8929746476018932,0.8598489834960912,0.01982602735204021,0.8434834769331443
19,0.9173228346456693,0.8418065620420409,0.9053268241484106,0.8724119948535364,0.019403267997925674,0.8546720721898908
20,0.9173228346456693,0.8436444075230148,0.8945306109897443,0.8683426459153241,0.020341612381024624,0.8542374437609035
21,0.9236220472440945,0.8513954488102815,0.9074494173266215,0.8785292197308443,0.02023676740020279,0.8653625887454971
22,0.9212598425196851,0.8499896099844982,0.9023869279918898,0.8754049102536785,0.020780349411363676,0.8609663604277419
23,0.9244094488188976,0.8545375528788034,0.9075856554946329,0.8802631069029394,0.020563873261447967,0.8665013993701739
24,0.925984251968504,0.857571464645642,0.9051590785409888,0.8807229212905406,0.020967997939098537,0.8689278389452743
25,0.9275590551181102,0.8656167212401344,0.9072085744597671,0.8859247593201448,0.02127505728578943,0.8715586648433069
