Epoch,Accuracy,Precision,Recall,F1-Score,Loss,Kappa
1,0.731496062992126,0.6725515688465883,0.7525250692092413,0.7102943131304562,0.03922163681017132,0.5725889226639296
2,0.8267716535433071,0.7262164437157334,0.8057707513667297,0.7639280163516027,0.0318547094900777,0.7050315660564599
3,0.8543307086614174,0.762983238679591,0.8644967115055339,0.8105740420302192,0.023603687699385516,0.75137881847003
4,0.8543307086614174,0.7551920476781723,0.8388942703595402,0.7948456424846118,0.02556728141045007,0.7514671845711844
5,0.8881889763779528,0.8018652962099874,0.872997040569231,0.8359206785587499,0.024449236374201738,0.8045035513273031
6,0.8850393700787401,0.8010826730419883,0.8816154595158391,0.8394219441255824,0.01949153429879917,0.7999905075853023
7,0.8937007874015748,0.8323163499634086,0.8862456667818579,0.8584348442004457,0.021985251972759804,0.8140092425853204
8,0.9039370078740158,0.8274012315635778,0.8845733779277026,0.8550326602369661,0.01999360676708184,0.8312759173432763
9,0.9039370078740158,0.8191904809146137,0.8892942005894664,0.8528040687073869,0.0224398173333153,0.8314381823957667
10,0.9,0.8213811957981525,0.8797715181317751,0.8495742629982357,0.019315654359112575,0.8249184783788596
11,0.905511811023622,0.8261191470475499,0.8691846404005528,0.8471049012819093,0.01921716920855477,0.8336440681666354
12,0.9188976377952756,0.843639059654067,0.9120636188134198,0.8765179926615781,0.015166402068429105,0.8576282771291
13,0.9322834645669291,0.8607414705812876,0.9306511176192878,0.8943321713554551,0.014879748096146922,0.8810042621436229
14,0.9196850393700787,0.8431224702144338,0.8927733780789384,0.8672378548605036,0.018640784180070473,0.8583184586308273
15,0.9275590551181102,0.8637346252212529,0.9050761509604602,0.883922260733917,0.014781839242131691,0.8711632358714014
16,0.9062992125984252,0.824694556691229,0.9075736826676568,0.864151473641564,0.018477584401101577,0.8375707732718854
17,0.9188976377952756,0.8430699633510782,0.8983906504068115,0.8698516253882063,0.01508740724071743,0.8572871799571458
18,0.9188976377952756,0.8413262325025149,0.9151180760196375,0.8766720805857436,0.016994757334313056,0.8580170800644301
19,0.9291338582677166,0.870310332754279,0.9206209133275713,0.8947589642780164,0.016747309852347483,0.874188222344524
20,0.9385826771653544,0.8885589974980762,0.9092265629391351,0.8987739817727118,0.01966215911702671,0.890520629335078
21,0.9440944881889763,0.8968318984145336,0.9282957474787117,0.9122926162175587,0.01983718124812278,0.900508436425586
22,0.947244094488189,0.8981036672138908,0.932961369106628,0.9152007278204458,0.016619218046974946,0.9061227101620042
23,0.9480314960629921,0.9015099963501382,0.9359743625225813,0.9184189678318819,0.016711414130184593,0.907413544000106
24,0.9464566929133859,0.8942319287197695,0.9416330986407185,0.9173205757446145,0.016373178145782215,0.9051072433192686
25,0.9488188976377953,0.9006044757953156,0.9400535676881883,0.9199062841081427,0.015481412697099442,0.909024183807517
