Epoch,Accuracy,Precision,Recall,F1-Score,Loss,Kappa
1,0.7850393700787401,0.6626860501160579,0.6878687788245809,0.6750426332486994,0.0461083307040958,0.6272480583484565
2,0.8125984251968504,0.6939711315105925,0.7361874536368029,0.7144562085771491,0.038114075069352396,0.6749514997440563
3,0.8110236220472441,0.6941786198088223,0.7243308260973348,0.7089342613774828,0.039340725705379574,0.6662944229126979
4,0.7732283464566929,0.699758217896178,0.7816700808128013,0.7384495938264499,0.03290244256417582,0.6285056126366595
5,0.74251968503937,0.692973472355401,0.7657617225948922,0.7275515963972033,0.035087217155873304,0.5900734786059201
6,0.8354330708661417,0.7262570704411506,0.7818781559426685,0.7530419408588706,0.03276635666531841,0.7144182063100633
7,0.8433070866141732,0.7432647962357537,0.7966017084089826,0.7690095273788119,0.03286980327189438,0.7290839472081915
8,0.8125984251968504,0.7163905430691626,0.8053737576301566,0.7582805607112479,0.02943945559929675,0.6857285449894986
9,0.7771653543307087,0.6967909109299922,0.7807955603245217,0.7364052937852116,0.032232614424754315,0.6360257630688839
10,0.831496062992126,0.7303972147533783,0.8129854508727182,0.7694816356014571,0.032231042657311505,0.7149180774959616
11,0.8700787401574803,0.7747972042278071,0.786005126386422,0.7803609239784561,0.0340622933596138,0.768743323298048
12,0.8551181102362204,0.7549813904074409,0.8128513552105869,0.7828483593886802,0.028066874371738885,0.7467169012924288
13,0.8606299212598425,0.7567879036532016,0.8130606906380308,0.7839157200871165,0.030637515952267984,0.7562691914022518
14,0.8622047244094488,0.7570985707053004,0.8181646437630268,0.786447974795965,0.032017987286012004,0.7602274198420576
15,0.8716535433070867,0.7759108570882057,0.8427129720161005,0.807933421761364,0.027464515533972913,0.776919263761369
16,0.8850393700787401,0.7955201311988445,0.8537699407433285,0.8236163993565542,0.02807196413907479,0.7983197299037608
17,0.8519685039370078,0.751956808186594,0.8290673520669006,0.7886316420768432,0.030621849551914247,0.7443212240369748
18,0.8598425196850393,0.7645186164353381,0.8565753631484451,0.8079331855577976,0.02428727717850152,0.7600701343250632
19,0.8519685039370078,0.7580481021148276,0.8579790825890646,0.8049238544585914,0.024959356026855978,0.748066923284711
20,0.8834645669291339,0.7874506457966245,0.8607396384004605,0.8224656953992188,0.026532321088896024,0.7967657248141309
21,0.8574803149606299,0.7618870131611813,0.8597877356409885,0.8078822345158682,0.02702682996828725,0.7577572071103692
22,0.8614173228346457,0.7634854551755396,0.824603378051212,0.7928683487453564,0.028739605855754042,0.7602910139158188
23,0.8748031496062992,0.7833515673945485,0.8632175094654649,0.821347611278721,0.02340022760817385,0.7825801394553575
24,0.8913385826771654,0.8176586553082497,0.8436747050966686,0.8304629779044361,0.024732402389443766,0.8066314191395838
25,0.8905511811023622,0.8110949010441741,0.8677964226201235,0.8384881661015702,0.026822526213221662,0.8076705176869474
