Epoch,Accuracy,Precision,Recall,F1-Score,Loss,Kappa
1,0.7433070866141732,0.6801866555477548,0.7442384866145054,0.7107724683542238,0.03924003818373042,0.589825793361443
2,0.8377952755905512,0.7208428879108902,0.7482217831345466,0.7342772058751125,0.036244540039713925,0.7129319955406912
3,0.794488188976378,0.7089484205798754,0.7992193464752123,0.751382314033749,0.03303338542697937,0.6643586492934186
4,0.8708661417322835,0.781573123076391,0.8069559352075975,0.7940617355108899,0.028503620043748946,0.7728611124440005
5,0.8724409448818897,0.7807730272737584,0.8795026966587244,0.8272023412342461,0.021624169434149434,0.7817100756704453
6,0.841732283464567,0.7535231812229607,0.8595071934004769,0.8030333524331084,0.020798542825725134,0.7350761758478974
7,0.8874015748031496,0.7903932523494289,0.8474695871290345,0.8179369201042956,0.024966060100343284,0.803579076699445
8,0.8275590551181102,0.7415772359147478,0.8513349197959226,0.7926747176818405,0.025056708140636055,0.7161591215250847
9,0.8692913385826772,0.771506851218937,0.8714607378235719,0.8184433269204314,0.02174857629565742,0.7790248667776329
10,0.9125984251968504,0.830644318284221,0.8880602432323911,0.8583932478589156,0.02163666743110484,0.8453733766233766
11,0.8842519685039371,0.7936102326235153,0.8982066469606537,0.8426751082110463,0.020265915403215904,0.8020430841791399
12,0.8921259842519685,0.802955536662235,0.8870729261110215,0.8429208538596996,0.019989455174508057,0.8134059447564057
13,0.9212598425196851,0.8336751254707911,0.9230908445178442,0.8761074483123448,0.013190919329507615,0.8630261091649554
14,0.9188976377952756,0.8329641208346749,0.9295018522593481,0.8785890961880216,0.012957437002048718,0.8595639514909991
15,0.926771653543307,0.8615195155290832,0.911970860911795,0.8860275812109121,0.013142616490239468,0.8699813299750773
16,0.9322834645669291,0.8696224649714089,0.917189375086488,0.8927727781146262,0.012894071871781444,0.8797502080865287
17,0.9307086614173228,0.8697997249681494,0.9124073019625101,0.8905941995669167,0.015086023745633016,0.8772402339201841
18,0.9173228346456693,0.8306551989328458,0.929440601797134,0.8772757342661296,0.012657393987371228,0.8568155169673881
19,0.9133858267716536,0.8285370037913848,0.9073782105135537,0.8661672155981512,0.01460296190600461,0.8488684062486477
20,0.9417322834645669,0.9030850821444326,0.908138674071167,0.9056048279597234,0.019012354652390002,0.8956218485528332
21,0.9346456692913386,0.8636796114467943,0.9245955137943351,0.8931000412944448,0.014332526909026104,0.8845444428866847
22,0.9251968503937008,0.85185033340592,0.9080772975791952,0.8790656332478782,0.015213917519926555,0.8682163938150725
23,0.9283464566929134,0.864249395452035,0.9036130715039912,0.8834929926585812,0.020513943770504372,0.8722593851826634
24,0.9228346456692913,0.8450902526244991,0.9091572465724317,0.875953852045411,0.013200169760645844,0.8640536183190097
25,0.947244094488189,0.917325416078584,0.9288407001507567,0.9230471453747232,0.012231054759811698,0.9055093102590527
